Cohort Year,School,Conference,Sport,State,GSR,FGR
2013,Abilene Christian University,Southland Conference,Football,TX,74,53
2013,University of Akron,Mid-American Conference,Football,OH,78,67
2013,Alabama A&M University,Southwestern Athletic Conf.,Football,AL,58,48
2013,Alabama State University,Southwestern Athletic Conf.,Football,AL,67,41
2013,University of Alabama,Southeastern Conference,Football,AL,88,63
2013,University of Alabama at Birmingham,Conference USA,Football,AL,73,47
2013,University at Albany,Colonial Athletic Association,Football,NY,82,64
2013,Alcorn State University,Southwestern Athletic Conf.,Football,MS,63,47
2013,Appalachian State University,Sun Belt Conference,Football,NC,77,65
2013,Arizona State University,Pac-12 Conference,Football,AZ,75,57
2013,University of Arizona,Pac-12 Conference,Football,AZ,78,56
2013,Arkansas State University,Sun Belt Conference,Football,AR,77,53
2013,"University of Arkansas, Fayetteville",Southeastern Conference,Football,AR,76,52
2013,Auburn University,Southeastern Conference,Football,AL,79,64
2013,Austin Peay State University,Ohio Valley Conference,Football,TN,63,51
2013,Ball State University,Mid-American Conference,Football,IN,76,64
2013,Charleston Southern University,Big South Conference,Football,SC,65,56
2013,Baylor University,Big 12 Conference,Football,TX,91,59
2013,Bethune-Cookman University,Mid-Eastern Athletic Conf.,Football,FL,72,54
2013,Boise State University,Mountain West Conference,Football,ID,87,61
2013,Boston College,Atlantic Coast Conference,Football,MA,90,80
2013,Bowling Green State University,Mid-American Conference,Football,OH,78,68
2013,Brigham Young University,Independent,Football,UT,70,40
2013,Brown University,The Ivy League,Football,RI,94,
2013,Bryant University,Northeast Conference,Football,RI,95,80
2013,Bucknell University,Patriot League,Football,PA,91,72
2013,"University at Buffalo, the State University of New York",Mid-American Conference,Football,NY,84,75
2013,Butler University,Pioneer Football League,Football,IN,90,
2013,California Polytechnic State University,Big Sky Conference,Football,CA,79,69
2013,"California State University, Fresno",Mountain West Conference,Football,CA,73,60
2013,"California State University, Sacramento",Big Sky Conference,Football,CA,58,33
2013,"University of California, Berkeley",Pac-12 Conference,Football,CA,80,68
2013,"University of California, Davis",Big Sky Conference,Football,CA,84,83
2013,"University of California, Los Angeles",Pac-12 Conference,Football,CA,79,61
2013,Campbell University,Big South Conference,Football,NC,89,72
2013,Central Connecticut State University,Northeast Conference,Football,CT,63,52
