Rk,Coach,Pct,W,L,T,School,Notes
1,Knute Rockne,0.881,105,12,5,Notre Dame,
2,Frank Leahy,0.864,107,13,9,"Boston College, Notre Dame",
3,Urban Meyer,0.854,187,32,0,"Bowling Green State, Florida, Ohio State, Utah",
4,George Washington Woodruff,0.846,142,25,2,"Carlisle, Illinois, Pennsylvania",
5,Barry Switzer,0.837,157,29,4,Oklahoma,
6,Tom Osborne,0.836,255,49,3,Nebraska,
7,Charley Moran,0.833,80,14,5,"Centre, Texas A&M",
,Fielding Yost,0.833,165,29,10,Michigan,
9,Bob Neyland,0.829,173,31,12,Tennessee,
10,Jim Tressel,0.828,106,22,0,Ohio State,record adjusted to 94-21-0 by NCAA
11,Bud Wilkinson,0.826,145,29,4,Oklahoma,
12,Percy Haughton,0.817,97,19,7,"Columbia, Cornell, Harvard",
13,Jock Sutherland,0.812,144,28,14,"Lafayette, Pitt",
14,Frank Thomas,0.812,115,24,7,Alabama,
15,Dabo Swinney*,0.809,140,33,0,Clemson,
16,Bob Devaney,0.806,136,30,7,"Nebraska, Wyoming",
17,Nick Saban*,0.8,261,65,1,"Alabama, LSU, Michigan State, Toledo",record adjusted to 256-65-1 by NCAA
18,Bob Stoops,0.798,190,48,0,Oklahoma,
19,Chris Petersen,0.795,147,38,0,"Boise State, Washington",
20,Henry Williams,0.785,140,34,12,"Army, Minnesota",
21,Fred Folsom,0.781,74,19,5,"Colorado, Dartmouth",
22,Bear Bryant,0.78,323,85,17,"Alabama, Kentucky, Maryland, Texas A&M",
23,Bo Schembechler,0.775,234,65,8,"Miami (OH), Michigan",
24,Andy Smith,0.771,86,22,10,"California, Purdue",
25,Jimbo Fisher*,0.768,109,33,0,"Florida State, Texas A&M",
26,Fritz Crisler,0.768,116,32,9,"Michigan, Minnesota, Princeton",
27,Wallace Wade,0.765,171,49,10,"Alabama, Duke",
28,Frank Kush,0.764,176,54,1,Arizona State,
29,Jimmy Crowley,0.763,86,23,11,"Fordham, Michigan State, North Carolina Pre-Flight",
